t,x_true,y_true,psi_true,x_dr,y_dr,psi_dr,x_pf,y_pf,psi_pf
15.0,10.54507237336316,5.530745823920085,1.0033538997257627,10.629958407840748,5.351442833356522,0.9689876074484687,10.517382161170387,5.476880912202962,0.9866618454580097
16.0,10.986377600802069,6.279044585518028,1.0804160349561123,11.09101024968811,6.0772865860076175,1.0443343127496219,10.984777837443772,6.205562273831494,1.05983197452756
17.0,11.367435301867385,7.0570615944003325,1.1582458109392206,11.500485908608482,6.843738617765075,1.1266432971601557,11.431499319764303,6.961469853196383,1.1359579289899486
18.0,11.685203614730192,7.858893331245981,1.2367314074438855,11.844150814057446,7.630131966314653,1.2011265246096725,11.838147533411968,7.7215555602937505,1.2022733446333604
19.0,11.937401912500976,8.678280294255286,1.3157577920303245,12.132521152923166,8.452074385580426,1.2745054255400783,12.028412670469224,8.588408766370524,1.287066354501314
20.0,12.122558087597428,9.508729546628306,1.395207283479003,12.352646528647565,9.276813641291325,1.3578697545674308,12.2943289899921,9.39409635922555,1.3636830660000279
21.0,12.240032727634697,10.343644218066917,1.4749601281931903,12.500199636062995,10.095192303257289,1.4353375242326187,12.384407527283432,10.234474868918456,1.4476963756883259
22.0,12.29001918263296,11.176455195313014,1.5548950867520173,12.582774256499045,10.928761325504432,1.5162527590573385,12.507677948213164,11.053677806980748,1.5224764892372236
23.0,12.27351959298588,12.000750108606969,1.6348900277410916,12.597028854401785,11.763806936751992,1.6012202402965174,12.402723221538343,11.918728220104548,1.6215985338242231
24.0,12.192298023025188,12.810394850979742,1.714822525952111,12.544319769427544,12.552513809357736,1.6832216507795268,12.35596387967332,12.700854524087543,1.7002454227667765
25.0,12.04881286025222,13.59964324970536,1.7945704620214684,12.428928373982737,13.342834916104566,1.7593297267002654,12.236364465685371,13.486955330446683,1.7752584229275883
26.0,11.846131533219724,14.363231120550022,1.8740126205708332,12.2536424326564,14.112355477527707,1.8352133895165088,12.02111535886169,14.248627745930268,1.857270192661068
27.0,11.587831318147407,15.09645173622423,1.95302928392001,12.02450068420896,14.860323147338088,1.9106526776737436,11.802864200709756,14.994210170737915,1.92820395896566
28.0,11.277890505009706,15.795210678464507,2.0315028184640807,11.742388594141339,15.584221940704031,1.9846271882986968,11.43598626388025,15.694962493903928,2.017093725334257
29.0,10.92057445329048,16.456059057735665,2.1093182508427404,11.422925464162308,16.257411854062724,2.0504922205773486,11.106963152549612,16.363647347336357,2.0798768138271724
30.0,10.520321078549818,17.076205111397,2.1863638310797544,11.065457750542045,16.890522160957012,2.125984461696632,10.74063017268906,16.995741200713763,2.151733152679693
31.0,10.081630083538064,17.653505167632442,2.2625315799342895,10.659002839309432,17.504949253011947,2.1898242680397955,10.301429001458123,17.582537529596966,2.2221778233038822
32.0,9.608959807901881,18.18643583218884,2.3377178177831803,10.218220855549356,18.082339828792783,2.2636001410025,9.841785631423834,18.149729859397905,2.294810952613899
33.0,9.106634957749652,18.674049972072268,2.411823672443668,9.752170307501949,18.61405760493696,2.3271874619755444,9.35340501577307,18.656090434622413,2.3615728532851574
34.0,8.578767738985734,19.11591960218756,2.4847555634492995,9.26143103348725,19.10053297511253,2.4033795652294137,8.845096864745917,19.112267350332143,2.4417618009941737
35.0,8.029194109860601,19.51206910971481,2.5564256604070206,8.753511783929028,19.536367269858722,2.466467181608923,8.314535953681537,19.499808340191983,2.513958046372617
36.0,7.461426042607112,19.862902374115325,2.6267523131903694,8.214258669002254,19.944747275061868,2.5342895279925526,7.748731963318401,19.845311147256048,2.5934297721760133
37.0,6.878619891722472,20.169127269351026,2.6956604518617815,7.660746540338582,20.308654257135437,2.595783637975113,7.173028588762582,20.160601365957376,2.660213652929551
38.0,6.28356025072932,20.43168079231245,2.763081954365088,7.078179460473272,20.63927308009129,2.6603858755446654,6.570279124445768,20.437465860163584,2.7286140543850594
39.0,5.67865807384685,20.651657679606046,2.8289559801873176,6.513057119607139,20.912345746852697,2.727909976975601,6.007809798226793,20.6406461751586,2.802211954533716
40.0,5.065961366626542,20.83024489132956,2.8932292683555065,5.925368253341575,21.15487089585884,2.7811196759921675,5.4523997680991485,20.79787054299049,2.8629721294819155
41.0,4.447176421539227,20.968663794990967,2.955856398308901,5.333312249383299,21.359921437929746,2.843829980638356,4.837375845910182,20.961973704103528,2.9239685274988685
42.0,3.8236973911944774,21.068121314021944,3.0168000123688543,4.7256108694546475,21.52931832377959,2.8952047539690775,4.224607457103262,21.078162142900368,2.977150721962602
43.0,3.1966419443398815,21.129770748459062,3.0760309987167105,4.120422088826816,21.66383285219035,2.953424358610963,3.6165073317671785,21.161842412660903,3.034794697127339
44.0,2.566890821541419,21.15468245972892,3.133528633983481,3.5148870238724785,21.766305233731597,2.999818342154695,3.0055702876063366,21.189360418043893,3.0892425248829047
45.0,1.9351292767615484,21.143824159596853,-3.093904622426692,2.8786645018718753,21.842995722841447,3.0433503805180058,2.362107915972085,21.182184049381057,3.1415877505636107
46.0,1.3018886332865809,21.09805017034554,-3.0399018396989215,2.225589910931137,21.892569309161775,3.0914118951380285,1.715481527697644,21.15127078564449,-3.0882985117599606
47.0,0.6675864722283463,21.01809873700798,-2.9876434406431014,1.6024384862839145,21.91223835227522,3.1341296160641816,1.106724731228281,21.09624547199278,-3.042032790158129
48.0,0.032564284893968384,20.90459627429316,-2.937115996899196,0.9468062464948218,21.903342406172637,-3.1044481383811635,0.48112064769073576,20.999279892051888,-2.991221971750453
