time_s,imu_mean_fleet_error_m,imu_p95_fleet_error_m,full_mean_fleet_error_m,full_p95_fleet_error_m,imu_mean_centroid_error_m,full_mean_centroid_error_m,imu_mean_relative_shape_error_m,full_mean_relative_shape_error_m
25.400000000000002,1.6910576415985195,2.338969938382312,0.7760277145352106,1.222847662716075,0.7741574538293119,0.7744353959608155,1.4725031853375687,0.039795314412540604
25.5,1.697792636668082,2.3479187171084943,0.7789957534536163,1.2282066408957732,0.7771447248027684,0.7774064197199105,1.478423330608792,0.040026842419850564
25.6,1.70452579011572,2.3568970629571644,0.7820799012701675,1.2330768238384189,0.780132288797776,0.7804719075249134,1.48434047611761,0.03986867491385184
25.7,1.7112564721844876,2.3658721959496094,0.7851390442684056,1.2380343021305935,0.7831208324547023,0.7834970533044894,1.4902546559375975,0.03996112339518227
25.8,1.717986246741638,2.374871202606261,0.7881038097842504,1.2430023007924182,0.7861121562434212,0.7865048954736722,1.4961658375446147,0.040610708491038795
25.900000000000002,1.7247199471031796,2.3838557591944998,0.7910131656970971,1.2478483010345678,0.7890987248335379,0.7894973449736318,1.502083859619229,0.03949577112913608
26.0,1.7314533488629453,2.392808422491154,0.7940372833276987,1.2525922004410226,0.7920819279979036,0.7925822544354509,1.5080032712054356,0.03896629992244459
26.1,1.7381876152370233,2.4017806917411813,0.7969119067817645,1.2574693613909746,0.7950732024836092,0.795614479201569,1.5139180946397317,0.03759180838678937
26.2,1.7449161511073978,2.410761425628466,0.7998849603979489,1.2625574886222453,0.7980673964427247,0.7985990250692186,1.519823816670271,0.03761892987808887
26.3,1.7516366278045326,2.4197863765010483,0.8027946596092079,1.2675640309467935,0.8010606170050385,0.8015580325967612,1.525720620226152,0.03736227192051049
26.400000000000002,1.7583534242074,2.4288543810855434,0.8057229519870844,1.272720167277602,0.8040488041281415,0.804528383786792,1.531615531190048,0.03758409358194938
26.5,1.7650722268224939,2.43793845905541,0.8087538561379407,1.2775948403020772,0.8070353433657094,0.8075389128135486,1.5375141438670838,0.03776250346398413
26.6,1.7717831461092142,2.4470232799677847,0.811704191117353,1.2828602415267871,0.8100206457637953,0.8105421669397783,1.5434034043926674,0.03713928776162304
26.7,1.7784833665570954,2.456120442953832,0.8146231878769781,1.28789652439822,0.8130010136744199,0.8134879094074281,1.549283489792793,0.03786677156598272
26.8,1.7851833325837254,2.4652380955021282,0.8176735042294997,1.29319223806218,0.8159812706060287,0.8164961749825235,1.5551619316721101,0.03908670389488519
