seed,imu_fleet_rmse_m,full_fleet_rmse_m,imu_worst_node_rmse_m,full_worst_node_rmse_m,imu_centroid_rmse_m,full_centroid_rmse_m,imu_relative_shape_rmse_m,full_relative_shape_rmse_m,imu_yaw_rmse_deg,full_yaw_rmse_deg,imu_runtime_s,full_runtime_s,imu_node1_rmse_m,full_node1_rmse_m,imu_node2_rmse_m,full_node2_rmse_m,imu_node3_rmse_m,full_node3_rmse_m,imu_node4_rmse_m,full_node4_rmse_m
10,1.61700777886469,0.381452222471994,2.3242867365896207,0.39519315622722495,0.3799470292822249,0.37885448706910735,1.5717361139353292,0.04444182327973496,0.07754118410118073,0.10091472542536202,1.3245880700000043,1.4923949669999956,2.3242867365896207,0.39519315622722495,1.365790504902405,0.38421757267463,1.6032541034672096,0.36052404926791437,0.7878707826688508,0.38502574996218103
11,1.2649012453999111,0.621494818207253,1.6813916484601379,0.6354360818849772,0.6259775941072275,0.6196236182740364,1.0991484032149494,0.04819108564306907,0.042540839657474974,0.04933067735769848,1.3023638780000084,1.4884970650000042,0.24136718151228503,0.6011066167930647,0.9821297918626876,0.6354360818849772,1.596867471824149,0.6167335342637956,1.6813916484601379,0.6321034765247043
12,1.9792450641103898,1.0165046135396916,2.7158815067575186,1.0224040241652634,1.013225005019442,1.0160350469440047,1.7002311939876564,0.030893570997403016,0.049029894693234016,0.049730102629715424,1.3608169120000042,1.4920250990000028,2.7158815067575186,1.0224040241652634,1.1687094617037903,1.0080239196084662,1.4005260762283096,1.013558255426588,2.2285144469808675,1.0219608451963214
13,2.1683119738717536,1.3291824719983796,2.7038577590404387,1.3414996096162832,1.3204428717041654,1.32849562869239,1.7198858795284286,0.04272479857102728,0.05073223514164901,0.055866376708733456,1.3009945329999937,1.493621883000003,1.6738364728485045,1.3329069849540787,2.308997311096583,1.3414996096162832,2.7038577590404387,1.3262542154432582,1.8336475567922343,1.3159375738802657
14,2.1799058483621163,0.7838608781333408,3.5768243121940473,0.8062604639813362,0.7793282201675401,0.7809006003692213,2.035838164730648,0.06805974295398134,0.02826391464757939,0.04546878582879345,1.3039090879999975,1.5101671289999956,1.6219769405811004,0.7768147167711039,3.5768243121940473,0.8007599411079165,1.2950924899874643,0.8062604639813362,1.380656408087213,0.7503585688303722
15,1.3532758646775767,0.8338895002695392,2.2056794958061774,0.8345485764107733,0.8298853097330241,0.8332709833577961,1.0689461813431795,0.03211178839169639,0.06298152060423841,0.057101997225199014,1.3054865820000003,1.488755201999993,1.0014333683581078,0.8334295462391484,0.49473031790797045,0.8338102553694964,2.2056794958061774,0.8345485764107733,1.1012598906421627,0.8337692233143056
16,1.9298074889590682,0.9932593073658034,2.9664776574376073,1.0011557671148383,0.9893089685814149,0.9923238308929435,1.6569323188129563,0.04309833303908797,0.05062798192190081,0.07073021437211259,1.3024378340000027,1.4823195370000093,0.979459238170771,0.9830439984893176,2.9664776574376073,1.0011557671148383,1.6172091492247151,0.9952928698795704,1.5880592728608365,0.9934585732927722
17,3.0352821838503337,1.183811859604911,3.642007141425324,1.1995384698560698,1.1857848086836693,1.182943778770604,2.7940745020658064,0.045326981028541984,0.02465528616483778,0.03564139124583748,1.2974363689999961,1.4842792590000045,3.3799859583609777,1.1736167656956253,2.4626552883574537,1.1823914602457957,3.642007141425324,1.1995384698560698,2.469526184556784,1.1795438343343878
18,1.9172170191309008,0.8701878245790239,2.483147913105002,0.8777061019326248,0.8694429934341185,0.8692528136127676,1.7087392953910483,0.040328601164198556,0.0579587509598278,0.06479902851909271,1.3044740970000106,1.4801374980000048,1.8254658948390179,0.8644346900082022,2.251880283964344,0.8777061019326248,0.3654726924070187,0.869335574506929,2.483147913105002,0.8692224826933928
19,3.2235424801713384,1.6045399501479205,4.589395041708776,1.6278036117036816,1.6032719462215508,1.6035165392128516,2.7965595269774153,0.0572988664070287,0.034283604755993666,0.04419026733145777,1.2995293780000026,1.5083299249999982,3.2709992548902402,1.6079377950377638,4.589395041708776,1.5928350093818302,1.3630273098279118,1.6278036117036816,2.818701485469228,1.5892960354773116
