seed,budget,policy,pair,exchanges
6,180,random,1-2,22
6,180,random,1-3,26
6,180,random,1-4,35
6,180,random,2-3,30
6,180,random,2-4,33
6,180,random,3-4,34
6,180,geometry,1-2,27
6,180,geometry,1-3,32
6,180,geometry,1-4,28
6,180,geometry,2-3,29
6,180,geometry,2-4,30
6,180,geometry,3-4,34
6,180,information,1-2,27
6,180,information,1-3,36
6,180,information,1-4,32
6,180,information,2-3,21
6,180,information,2-4,29
6,180,information,3-4,35
6,360,cyclic,1-2,60
6,360,cyclic,1-3,60
6,360,cyclic,1-4,60
6,360,cyclic,2-3,60
6,360,cyclic,2-4,60
6,360,cyclic,3-4,60
6,360,random,1-2,51
6,360,random,1-3,57
6,360,random,1-4,70
6,360,random,2-3,68
6,360,random,2-4,46
6,360,random,3-4,68
6,360,geometry,1-2,55
6,360,geometry,1-3,65
6,360,geometry,1-4,57
6,360,geometry,2-3,58
6,360,geometry,2-4,56
6,360,geometry,3-4,69
6,360,information,1-2,52
6,360,information,1-3,70
6,360,information,1-4,64
6,360,information,2-3,45
6,360,information,2-4,54
6,360,information,3-4,75
6,720,cyclic,1-2,120
6,720,cyclic,1-3,120
6,720,cyclic,1-4,120
6,720,cyclic,2-3,120
6,720,cyclic,2-4,120
6,720,cyclic,3-4,120
6,720,random,1-2,112
6,720,random,1-3,120
6,720,random,1-4,119
6,720,random,2-3,95
6,720,random,2-4,143
6,720,random,3-4,131
6,720,geometry,1-2,110
6,720,geometry,1-3,131
6,720,geometry,1-4,115
6,720,geometry,2-3,114
6,720,geometry,2-4,112
6,720,geometry,3-4,138
6,720,information,1-2,103
6,720,information,1-3,143
6,720,information,1-4,132
6,720,information,2-3,90
6,720,information,2-4,97
6,720,information,3-4,155
7,180,cyclic,1-2,30
7,180,cyclic,1-3,30
7,180,cyclic,1-4,30
7,180,cyclic,2-3,30
7,180,cyclic,2-4,30
7,180,cyclic,3-4,30
7,180,random,1-2,36
7,180,random,1-3,28
7,180,random,1-4,31
7,180,random,2-3,28
7,180,random,2-4,26
7,180,random,3-4,31
7,180,geometry,1-2,27
7,180,geometry,1-3,32
7,180,geometry,1-4,29
7,180,geometry,2-3,30
7,180,geometry,2-4,28
7,180,geometry,3-4,34
7,180,information,1-2,26
7,180,information,1-3,35
7,180,information,1-4,33
7,180,information,2-3,22
7,180,information,2-4,29
7,180,information,3-4,35
7,360,cyclic,1-2,60
7,360,cyclic,1-3,60
7,360,cyclic,1-4,60
7,360,cyclic,2-3,60
7,360,cyclic,2-4,60
7,360,cyclic,3-4,60
7,360,random,1-2,62
7,360,random,1-3,60
7,360,random,1-4,64
7,360,random,2-3,59
7,360,random,2-4,59
7,360,random,3-4,56
7,360,geometry,1-2,55
7,360,geometry,1-3,65
7,360,geometry,1-4,57
7,360,geometry,2-3,57
7,360,geometry,2-4,58
7,360,geometry,3-4,68
7,360,information,1-2,51
7,360,information,1-3,72
7,360,information,1-4,66
7,360,information,2-3,46
7,360,information,2-4,54
7,360,information,3-4,71
7,720,cyclic,1-2,120
7,720,cyclic,1-3,120
7,720,cyclic,1-4,120
7,720,cyclic,2-3,120
7,720,cyclic,2-4,120
7,720,cyclic,3-4,120
7,720,random,1-2,118
7,720,random,1-3,112
7,720,random,1-4,126
7,720,random,2-3,106
7,720,random,2-4,132
7,720,random,3-4,126
7,720,geometry,1-2,111
7,720,geometry,1-3,130
7,720,geometry,1-4,115
7,720,geometry,2-3,114
7,720,geometry,2-4,111
7,720,geometry,3-4,139
7,720,information,1-2,106
7,720,information,1-3,144
7,720,information,1-4,134
7,720,information,2-3,89
7,720,information,2-4,94
7,720,information,3-4,153
8,180,cyclic,1-2,30
8,180,cyclic,1-3,30
8,180,cyclic,1-4,30
8,180,cyclic,2-3,30
8,180,cyclic,2-4,30
8,180,cyclic,3-4,30
8,180,random,1-2,25
8,180,random,1-3,32
8,180,random,1-4,37
8,180,random,2-3,34
8,180,random,2-4,24
8,180,random,3-4,28
8,180,geometry,1-2,28
8,180,geometry,1-3,33
8,180,geometry,1-4,28
8,180,geometry,2-3,29
8,180,geometry,2-4,29
8,180,geometry,3-4,33
8,180,information,1-2,25
8,180,information,1-3,35
8,180,information,1-4,33
8,180,information,2-3,23
8,180,information,2-4,30
8,180,information,3-4,34
8,360,cyclic,1-2,60
8,360,cyclic,1-3,60
8,360,cyclic,1-4,60
8,360,cyclic,2-3,60
8,360,cyclic,2-4,60
8,360,cyclic,3-4,60
8,360,random,1-2,61
8,360,random,1-3,60
8,360,random,1-4,52
8,360,random,2-3,46
8,360,random,2-4,88
8,360,random,3-4,53
8,360,geometry,1-2,55
8,360,geometry,1-3,65
8,360,geometry,1-4,58
8,360,geometry,2-3,57
8,360,geometry,2-4,56
8,360,geometry,3-4,69
8,360,information,1-2,51
8,360,information,1-3,71
8,360,information,1-4,66
8,360,information,2-3,47
8,360,information,2-4,52
8,360,information,3-4,73
8,720,cyclic,1-2,120
8,720,cyclic,1-3,120
8,720,cyclic,1-4,120
8,720,cyclic,2-3,120
8,720,cyclic,2-4,120
8,720,cyclic,3-4,120
8,720,random,1-2,120
8,720,random,1-3,122
8,720,random,1-4,139
8,720,random,2-3,108
8,720,random,2-4,112
8,720,random,3-4,119
8,720,geometry,1-2,110
8,720,geometry,1-3,130
8,720,geometry,1-4,116
8,720,geometry,2-3,115
8,720,geometry,2-4,111
8,720,geometry,3-4,138
8,720,information,1-2,104
8,720,information,1-3,142
8,720,information,1-4,132
8,720,information,2-3,92
8,720,information,2-4,94
8,720,information,3-4,156
9,180,cyclic,1-2,30
9,180,cyclic,1-3,30
9,180,cyclic,1-4,30
9,180,cyclic,2-3,30
9,180,cyclic,2-4,30
9,180,cyclic,3-4,30
9,180,random,1-2,23
9,180,random,1-3,33
9,180,random,1-4,27
9,180,random,2-3,26
9,180,random,2-4,34
9,180,random,3-4,37
9,180,geometry,1-2,27
9,180,geometry,1-3,32
9,180,geometry,1-4,28
9,180,geometry,2-3,29
9,180,geometry,2-4,30
9,180,geometry,3-4,34
9,180,information,1-2,26
9,180,information,1-3,35
9,180,information,1-4,33
9,180,information,2-3,22
9,180,information,2-4,29
9,180,information,3-4,35
9,360,cyclic,1-2,60
9,360,cyclic,1-3,60
9,360,cyclic,1-4,60
9,360,cyclic,2-3,60
9,360,cyclic,2-4,60
9,360,cyclic,3-4,60
9,360,random,1-2,63
9,360,random,1-3,67
9,360,random,1-4,59
9,360,random,2-3,63
9,360,random,2-4,52
9,360,random,3-4,56
9,360,geometry,1-2,56
9,360,geometry,1-3,64
9,360,geometry,1-4,59
9,360,geometry,2-3,58
9,360,geometry,2-4,55
9,360,geometry,3-4,68
9,360,information,1-2,50
9,360,information,1-3,71
9,360,information,1-4,65
9,360,information,2-3,47
9,360,information,2-4,53
9,360,information,3-4,74
