seed,budget,communication_ratio,policy,fleet_rmse_m,worst_node_rmse_m,centroid_rmse_m,relative_shape_rmse_m,yaw_rmse_deg,runtime_s,node1_rmse_m,node2_rmse_m,node3_rmse_m,node4_rmse_m
1,180,0.05,cyclic,0.9317964605536123,0.9714207621804165,0.9254286451354591,0.10874955936916704,0.08752556270297025,1.7573436940001557,0.9090193959928186,0.9714207621804165,0.9423130532006653,0.9028012659950514
1,180,0.05,random,0.9275446583095323,0.9537222069218448,0.9233390954565831,0.0882270251111633,0.08014748580003786,1.757021999999779,0.9278520157323461,0.9151614184289785,0.9128748762994813,0.9537222069218448
1,180,0.05,geometry,0.9285876399024602,0.9552461450208567,0.9237910726258618,0.09426059153421848,0.08229073163995358,1.6674817300008726,0.9157205936866133,0.9333175031239173,0.9552461450208567,0.9093838875865639
1,180,0.05,information,0.9267811904365021,0.9449540263760848,0.9212275753381483,0.10130710430910786,0.08093659303530333,1.7077513770000223,0.9275526629648878,0.9449540263760848,0.9260526702824405,0.9082003617664609
1,360,0.1,cyclic,0.9299850280462881,0.9476509680723133,0.9265984902924782,0.07929306513154563,0.10037880945478404,1.8791123730006802,0.9476509680723133,0.9043809762482976,0.9350159983768589,0.9323552889602379
1,360,0.1,random,0.9284262928460776,0.9602549388103168,0.9253791881504534,0.07515809594393934,0.09704374699304875,1.9130244629996014,0.9180253832407819,0.9082033688086373,0.9602549388103168,0.9263951716693567
1,360,0.1,geometry,0.9227774847909271,0.9381565908366203,0.9203870796135154,0.06637703004484584,0.07966442256526295,2.001228334998814,0.9233044484621031,0.9093367974491885,0.9200819751919022,0.9381565908366203
1,360,0.1,information,0.9232484113371356,0.9532984500157979,0.9208013548620688,0.06717509896325558,0.0765403876851739,2.595693728999322,0.9211626203921154,0.906995840509251,0.9532984500157979,0.910818617198236
1,720,0.2,cyclic,0.9219472830888391,0.9407562169291867,0.9200033714951938,0.05983802497048587,0.09568949712236642,2.208774794000419,0.910836464077827,0.9239252041308772,0.9407562169291867,0.9119561745865711
1,720,0.2,random,0.9197653871082719,0.9297132897474575,0.917107327913073,0.06987500562126919,0.07894442216441036,1.822316078001677,0.9138975864717522,0.9157912436987444,0.9195783096411566,0.9297132897474575
1,720,0.2,geometry,0.923782840021025,0.9442929646862507,0.9215127980150674,0.06472170124272301,0.0944887570671969,2.122099698999591,0.9311042522844568,0.9096277267718889,0.9442929646862507,0.9096328979203124
1,720,0.2,information,0.925881436234789,0.9359980439215919,0.9236725754277024,0.06391719148203663,0.09317647897833668,2.546457766000458,0.9359980439215919,0.9261303371342301,0.9334857672872017,0.9076454806495771
2,180,0.05,cyclic,1.2305138861913658,1.2404332605610984,1.2249858766413912,0.11650762266435741,0.043224288186877007,2.3937085030011076,1.232888738087402,1.2404332605610984,1.2317549054034456,1.2168599899103725
2,180,0.05,random,1.232528929804005,1.2666171099532206,1.2275104538515453,0.11111097375587486,0.05807053453049538,1.7759123129999352,1.2666171099532206,1.2123948039517567,1.2074882252016337,1.242683537083823
2,180,0.05,geometry,1.2256045546929948,1.2719852357020225,1.2192996511155272,0.1241566964515703,0.03821501061609517,1.8204636110003776,1.2719852357020225,1.1817537815588561,1.188065882518994,1.2579495684083037
2,180,0.05,information,1.2281193827955939,1.2703259778822062,1.2223213852611867,0.11919584527744209,0.04937829835404144,2.148108762999982,1.2352027969275865,1.2312489324863776,1.1737465229869517,1.2703259778822062
2,360,0.1,cyclic,1.2289760077002214,1.2432754796717573,1.225811816901189,0.08813295097851186,0.05537252592525684,2.2167455189992324,1.2432754796717573,1.2286600300785766,1.201908869329234,1.2416133826490006
2,360,0.1,random,1.2245488587904823,1.276237896775699,1.2199632765744777,0.10587497992791799,0.035019614929888906,1.8878606800008129,1.276237896775699,1.1910559510299559,1.1815247856820545,1.246868623163217
2,360,0.1,geometry,1.2236026265765616,1.2601440502617036,1.2198816800514616,0.09535236987030811,0.03878868998606924,2.0359565720009414,1.2601440502617036,1.2033356728900135,1.1945421214418064,1.2352744238030344
2,360,0.1,information,1.2313614523010266,1.2698637963898702,1.228806241065336,0.0792858633791211,0.0449573184869562,1.885509870999158,1.2698637963898702,1.2147146460466582,1.2053300190190686,1.2345436069256932
2,720,0.2,cyclic,1.2232044166690126,1.2392433941285779,1.220343536180343,0.08361039804615078,0.044547218598550396,2.025931166001101,1.2187724566498577,1.2226231242347392,1.2120141851237358,1.2392433941285779
2,720,0.2,random,1.2250853920946474,1.238915265410766,1.2226044059738204,0.07792743045357947,0.04348788865801479,2.1693370349985344,1.2080078035327335,1.22328549165577,1.2299250340307224,1.238915265410766
2,720,0.2,geometry,1.2264103017572292,1.2480069012089945,1.2243594086039382,0.0708961692848958,0.05534717549658546,2.1157094430000143,1.2289342322850219,1.2213973885070293,1.2069452181544917,1.2480069012089945
2,720,0.2,information,1.225832581044795,1.2374460749303398,1.2232904913710236,0.07890431212667186,0.04643537156272751,2.071373984001184,1.2320395307015024,1.2374460749303398,1.2093626991432904,1.224299691804642
3,180,0.05,cyclic,1.4432015760312036,1.4990477280817611,1.4392760706444911,0.10637284206555432,0.04322851223600814,1.7980931740003143,1.4990477280817611,1.4216553903361537,1.3832021411818989,1.4662287860107905
3,180,0.05,random,1.4445099242210884,1.4695569125269392,1.4423095683877014,0.07969962428077525,0.05240461646683345,1.5991628419997141,1.4549614797982455,1.4695569125269392,1.400350403239515,1.4522203710137662
3,180,0.05,geometry,1.4460234349517076,1.4608377467556357,1.4430575126507674,0.09256775686877032,0.03955285885891354,1.8775612669996917,1.4604588690379794,1.4608377467556357,1.4152721369198304,1.4470497039420387
3,180,0.05,information,1.4439826574370123,1.4583130905847919,1.4412846480983912,0.08822968964442918,0.03547175452133777,1.727559299000859,1.447836793133335,1.440346914596658,1.4292781310177927,1.4583130905847919
3,360,0.1,cyclic,1.4406637212329687,1.4676818468372552,1.4391704465479391,0.06557730903163819,0.02873095687214066,1.8119805719998112,1.4676818468372552,1.4331954389031758,1.4051078419179828,1.4558779528722228
3,360,0.1,random,1.4398070290473586,1.48296997693668,1.4372822106846255,0.08522985242095012,0.04614068091393857,1.8557072739986324,1.48296997693668,1.4428312602640785,1.3848730855585205,1.4468385059783098
