geometry,time_s,obs_sigma_ratio,position_error_mean_m
stationary,55.0,4.1058367415581924e-17,34.621675018996925
stationary,56.0,3.9694433999211656e-17,34.62233213010655
stationary,57.0,4.086576154586335e-17,34.58515008983775
stationary,58.0,4.5634528686905844e-17,34.76102353368445
stationary,59.0,4.0363213161659505e-17,34.88490249333766
stationary,60.0,3.715932523677106e-17,34.78107987224522
constant_bearing,0.0,0.0,8.944455410287862
constant_bearing,1.0,1.9358400353854666e-18,8.236286400378765
constant_bearing,2.0,2.3868630821708654e-17,7.424723706728163
constant_bearing,3.0,6.115128988884668e-18,6.622362916534426
constant_bearing,4.0,2.2684256874393678e-17,6.039053212108423
constant_bearing,5.0,2.951935704405094e-17,5.613010870736484
constant_bearing,6.0,1.4627688656197653e-17,5.845587474822876
constant_bearing,7.0,2.928608186906966e-17,5.8112805270535945
constant_bearing,8.0,5.8461154691377624e-18,5.721388351903709
constant_bearing,9.0,4.2226245169037086e-17,5.973182165559615
constant_bearing,10.0,2.566149396364801e-17,6.18814421924486
constant_bearing,11.0,1.783923108275323e-17,5.9629463491926185
constant_bearing,12.0,3.9289355143363825e-18,6.062570733354706
constant_bearing,13.0,4.4192134240675545e-17,5.971350320169592
constant_bearing,14.0,1.7780655039181228e-17,5.966046408635014
constant_bearing,15.0,4.7654010481589595e-18,5.908770044737365
constant_bearing,16.0,7.82807736733867e-18,6.016609749902271
constant_bearing,17.0,1.1798276979663693e-17,6.0747306803069305
constant_bearing,18.0,1.3390840010360258e-17,5.3581973659791
constant_bearing,19.0,2.449203364402869e-17,4.899655451387157
constant_bearing,20.0,1.552341071859985e-17,4.862070852082992
constant_bearing,21.0,2.504147985666368e-17,4.540207227521377
constant_bearing,22.0,9.70537714675876e-18,4.094593507979514
constant_bearing,23.0,1.1718012072486525e-17,3.645983570943735
constant_bearing,24.0,2.0418688448405247e-17,3.478677998956911
constant_bearing,25.0,1.4622916534221697e-17,3.418668951099632
constant_bearing,26.0,2.7280355626442328e-17,3.3373473482437346
constant_bearing,27.0,3.13405221514233e-17,3.354412101151045
constant_bearing,28.0,3.413585148236803e-17,3.0461706854644643
constant_bearing,29.0,1.2564782702647869e-17,3.298808736901497
constant_bearing,30.0,2.414398283751441e-17,3.4580986828275315
constant_bearing,31.0,2.2766420680221245e-17,3.412513700094363
constant_bearing,32.0,1.0990620283575717e-17,3.5255790808801306
constant_bearing,33.0,4.577483464872471e-19,3.4633576906563635
constant_bearing,34.0,2.91124127188442e-17,3.4171960772045784
constant_bearing,35.0,1.9216493785051608e-17,3.3665854167137903
constant_bearing,36.0,4.4620096903177347e-17,3.463800868190841
constant_bearing,37.0,1.8055428202559028e-17,3.3481285875867277
constant_bearing,38.0,6.1871086400334985e-18,3.3078239209903573
constant_bearing,39.0,1.9765035164880732e-17,3.456872414501301
constant_bearing,40.0,5.0740312730106164e-18,3.621426596242202
constant_bearing,41.0,7.023308016574035e-18,3.7461313594841408
