rate_hz,time_s,mean_fleet_rms_error_m,std_fleet_rms_error_m,p95_fleet_rms_error_m,mean_centroid_error_m,std_centroid_error_m,p95_centroid_error_m,mean_shape_rms_error_m,std_shape_rms_error_m,p95_shape_rms_error_m
0,8.2,0.5405663,0.1501327,0.7752521,0.2511184,0.1048057,0.3875921,0.468409,0.147692,0.6807564
0,8.3,0.5471963,0.1519054,0.7846583,0.2542024,0.1060562,0.3922158,0.4741594,0.1494331,0.6890618
0,8.4,0.5538219,0.1536713,0.7940312,0.2572835,0.1073096,0.3968417,0.4799073,0.1511619,0.6973288
0,8.5,0.5604438,0.1554359,0.8034041,0.2603646,0.1085692,0.401489,0.4856513,0.1528835,0.7055852
0,8.6,0.5670613,0.1571994,0.8128138,0.263439,0.1098324,0.4061823,0.4913954,0.1545964,0.7138577
0,8.7,0.5736824,0.1589686,0.8222329,0.2665172,0.1110972,0.4108726,0.4971417,0.1563135,0.722143
0,8.8,0.5803012,0.1607333,0.8316408,0.2695892,0.1123613,0.4155658,0.5028879,0.1580291,0.7304136
0,8.9,0.5869121,0.1624864,0.8410231,0.2726619,0.1136252,0.4202801,0.5086242,0.1597347,0.7386425
0,9,0.593521,0.1642398,0.8504297,0.2757374,0.1148842,0.4250342,0.5143577,0.1614398,0.7468754
0,9.1,0.6001334,0.1659951,0.859843,0.2788093,0.1161471,0.4298076,0.5200977,0.1631433,0.7551053
0,9.2,0.6067554,0.1677499,0.8692423,0.2818809,0.1174067,0.4345757,0.5258481,0.1648507,0.7633211
0,9.3,0.6133799,0.1695089,0.878621,0.2849521,0.1186549,0.4393224,0.5316035,0.1665643,0.771524
0,9.4,0.6200093,0.1712661,0.8879692,0.2880258,0.1199037,0.4440562,0.5373637,0.1682741,0.7796994
0,9.5,0.6266402,0.1730288,0.8972793,0.2910998,0.1211574,0.4487861,0.5431235,0.1699926,0.787834
0,9.6,0.6332717,0.1747968,0.9065808,0.2941707,0.1224148,0.4534956,0.5488855,0.1717138,0.7959708
0,9.7,0.6398949,0.1765637,0.9159069,0.2972394,0.1236735,0.4582129,0.5546404,0.1734295,0.8041324
