seed,rate_hz,uwb_exchanges,communication_ratio,fleet_rmse_m,worst_node_rmse_m,centroid_rmse_m,relative_shape_rmse_m,yaw_rmse_deg,runtime_s,node1_rmse_m,node2_rmse_m,node3_rmse_m,node4_rmse_m
13,0.0,0,0.0,2.168311973871754,2.703857759040438,1.3204428717041659,1.7198858795284289,0.05073223514164903,2.159877334997873,1.6738364728485045,2.308997311096584,2.703857759040438,1.8336475567922361
13,0.5,180,0.05,1.3253457363161634,1.3564332230848326,1.320482548699333,0.11343350189404923,0.054196379528991645,2.963869639999757,1.3564332230848326,1.2959658205520563,1.29793967440788,1.349844208772339
13,1.0,360,0.1,1.3285544536446965,1.359698533299443,1.324604399481672,0.1023724629622465,0.05156007602010682,2.651881591998972,1.359698533299443,1.3142986345051701,1.3025863474928947,1.336912693635207
13,2.0,720,0.2,1.3275838689342179,1.3463132996259508,1.3260713760410854,0.06335325326175796,0.059213783062093225,2.5205820179980947,1.3463132996259508,1.324730703290112,1.3135550746264923,1.3255254977370843
13,5.0,1800,0.5,1.3306901870309968,1.3454997286799149,1.3295060406260022,0.05612541135315003,0.0415926401028843,2.3609094290004577,1.3454997286799149,1.3426487120722295,1.3188612324469313,1.3154753745638825
13,10.0,3600,1.0,1.3291824719982204,1.3414996096161227,1.3284956286922303,0.042724798571035665,0.05586637670875917,2.6894668620006996,1.3329069849539499,1.3414996096161227,1.326254215443095,1.315937573880076
14,0.0,0,0.0,2.1799058483621163,3.5768243121940473,0.7793282201675398,2.035838164730648,0.028263914647579443,2.4486896109956433,1.6219769405811004,3.5768243121940473,1.2950924899874643,1.3806564080872132
14,0.5,180,0.05,0.7943081537173882,0.8127556476905635,0.781847946256215,0.14014004423027945,0.0417066601293911,2.283081019995734,0.7952878167466659,0.8127556476905635,0.8046537532831969,0.7636620032818031
14,1.0,360,0.1,0.7881535823124497,0.8031698328768397,0.7815545655262834,0.10177686582406566,0.04744857011542761,2.115514067001641,0.8031698328768397,0.7933964537484922,0.8018794523067021,0.7531094926715509
14,2.0,720,0.2,0.7891822853938605,0.8081273936066109,0.784474283066611,0.086074263206857,0.05356595361432499,2.166521201004798,0.7829266345037901,0.8044393350257294,0.8081273936066109,0.7603078818928694
14,5.0,1800,0.5,0.7828705251206606,0.8020532691309824,0.779189135774452,0.07583237958656765,0.04131432504224325,2.3478093140001874,0.7814776073577148,0.7972030851893334,0.8020532691309824,0.7496769838071402
14,10.0,3600,1.0,0.7838608781334855,0.8062604639814844,0.7809006003693677,0.06805974295396806,0.04546878582873715,2.447384961997159,0.7768147167712441,0.8007599411080282,0.8062604639814844,0.750358568830555
15,0.0,0,0.0,1.3532758646775767,2.2056794958061774,0.8298853097330247,1.068946181343179,0.0629815206042384,2.115066487000149,1.0014333683581076,0.49473031790797106,2.2056794958061774,1.1012598906421627
